L_Id,Date of Creation,Agent Category Assigned,Type of Request,Description of the Request,Location,Street Type,Region Type,Ward No,Estimated Date of Completion,Request Solution Category,Actual Date of Completion,Team Assigned,A_1,A_2,Problem Category
LM_1,18-12-2018 00:29,1,10,2,13,11223,0,7,18-12-2018 09:29,4,18-12-2018 05:34,45,1,1,1
LM_2,30-11-2018 22:19,1,15,17,13,10019,0,30,01-12-2018 07:19,8,01-12-2018 00:35,22,2,2,1
LM_3,12-12-2018 02:37,1,11,22,0,11237,2,7,12-12-2018 11:37,8,12-12-2018 04:29,17,1,1,1
LM_4,26-12-2018 01:45,1,11,22,12,11213,0,7,26-12-2018 10:45,7,26-12-2018 05:26,33,1,1,1
LM_5,24-12-2018 03:22,1,2,27,13,10460,0,6,24-12-2018 12:22,4,24-12-2018 10:20,24,0,0,1
LM_6,16-12-2018 20:02,1,2,27,13,11375,0,17,17-12-2018 05:02,4,17-12-2018 00:27,27,3,3,1
LM_7,26-12-2018 02:58,1,11,23,0,10009,0,30,26-12-2018 11:58,8,26-12-2018 04:04,13,2,2,1
LM_8,06-12-2018 01:03,1,10,2,13,11354,0,16,06-12-2018 10:03,4,06-12-2018 05:32,31,3,3,1
LM_9,29-12-2018 20:05,1,2,27,13,11237,2,7,30-12-2018 05:05,8,30-12-2018 00:01,17,1,1,1
LM_10,22-12-2018 12:57,1,10,14,13,11201,0,7,22-12-2018 21:57,4,22-12-2018 20:18,7,1,1,1
LM_11,24-12-2018 21:32,1,2,31,13,11434,0,23,25-12-2018 06:32,8,25-12-2018 03:08,51,3,3,1
LM_12,23-12-2018 21:46,1,10,10,13,10314,0,45,24-12-2018 06:46,8,24-12-2018 06:22,5,4,4,1
LM_13,20-12-2018 23:27,1,2,27,13,11354,0,16,21-12-2018 08:27,8,21-12-2018 01:22,31,3,3,1
LM_14,14-12-2018 17:58,1,10,34,13,11235,0,7,15-12-2018 02:58,6,14-12-2018 22:32,56,1,1,1
LM_15,25-07-2018 02:13,1,10,14,13,,4,31,25-07-2018 11:13,12,,0,5,5,0
LM_16,26-12-2018 05:14,1,14,22,13,10457,0,6,26-12-2018 14:14,4,26-12-2018 09:40,24,0,0,1
LM_17,05-12-2018 12:50,1,2,27,13,11219,0,7,05-12-2018 21:50,9,05-12-2018 15:11,49,1,1,1
LM_18,14-12-2018 22:24,1,10,34,13,10308,0,45,15-12-2018 07:24,7,15-12-2018 01:19,15,4,4,1
LM_19,08-12-2018 11:32,1,20,20,13,10017,0,30,08-12-2018 20:32,8,08-12-2018 15:26,26,2,2,1
LM_20,16-08-2018 22:29,1,2,27,13,,4,31,17-08-2018 07:29,13,,0,5,5,2
LM_21,17-12-2018 07:07,1,2,31,13,10458,0,6,17-12-2018 16:07,4,18-12-2018 03:30,28,0,0,1
LM_22,23-12-2018 13:11,1,10,34,13,11237,0,7,23-12-2018 22:11,6,23-12-2018 17:33,17,1,1,1
LM_23,07-12-2018 15:20,1,10,15,13,11432,0,23,08-12-2018 00:20,2,08-12-2018 17:08,51,3,3,1
LM_24,22-12-2018 20:45,1,11,22,0,10003,0,30,23-12-2018 05:45,7,24-12-2018 05:58,8,2,2,1
LM_25,14-12-2018 05:56,1,2,27,13,10462,0,6,14-12-2018 14:56,4,14-12-2018 12:49,44,0,0,1
LM_26,06-07-2018 00:03,1,14,23,13,,4,31,06-07-2018 09:03,12,,0,5,5,0
LM_27,27-07-2018 10:54,1,2,31,13,,4,31,27-07-2018 19:54,13,,0,5,5,2
LM_28,10-06-2018 22:18,1,2,27,13,,4,31,11-06-2018 07:18,13,,0,5,5,2
LM_29,14-12-2018 02:00,1,2,31,13,11214,0,7,14-12-2018 11:00,2,14-12-2018 04:20,45,1,1,1
LM_30,07-12-2018 07:36,1,2,31,13,11204,0,7,07-12-2018 16:36,10,07-12-2018 09:44,45,1,1,1
LM_31,11-12-2018 23:16,1,11,22,0,10017,0,30,12-12-2018 08:16,8,12-12-2018 00:44,26,2,2,1
LM_32,19-12-2018 13:11,1,10,3,13,11213,1,7,19-12-2018 22:11,7,19-12-2018 17:39,33,1,1,1
LM_33,28-12-2018 22:40,1,2,27,13,11228,0,7,29-12-2018 07:40,2,29-12-2018 00:13,41,1,1,1
LM_34,27-12-2018 11:22,1,2,27,13,11411,0,8,27-12-2018 20:22,4,27-12-2018 18:37,51,3,3,1
LM_35,29-12-2018 14:54,1,2,27,13,11356,0,10,29-12-2018 23:54,2,29-12-2018 19:41,31,3,3,1
LM_36,01-12-2018 11:15,1,3,41,13,11102,0,1,01-12-2018 20:15,7,01-12-2018 20:54,4,3,3,1
LM_37,18-12-2018 02:12,1,2,27,13,11226,0,7,18-12-2018 11:12,4,18-12-2018 13:51,54,1,1,1
LM_38,10-12-2018 01:08,1,2,27,13,11354,0,16,10-12-2018 10:08,2,10-12-2018 04:02,31,3,3,1
LM_39,30-11-2018 22:29,1,10,2,13,11375,0,17,01-12-2018 07:29,2,01-12-2018 00:32,27,3,3,1
LM_40,23-12-2018 08:29,1,10,10,13,10312,0,45,23-12-2018 17:29,10,23-12-2018 10:05,15,4,4,1
LM_41,06-08-2018 20:32,1,10,3,13,,4,31,07-08-2018 05:32,12,,0,5,5,2
LM_42,05-12-2018 00:21,1,14,23,13,10026,2,30,05-12-2018 09:21,4,05-12-2018 06:39,42,2,2,1
LM_43,11-12-2018 09:42,1,14,22,13,10039,0,30,11-12-2018 18:42,7,11-12-2018 11:17,42,2,2,1
LM_44,27-12-2018 02:21,1,10,2,13,10027,0,30,27-12-2018 11:21,2,27-12-2018 04:20,38,2,2,1
LM_45,04-12-2018 10:35,1,10,15,13,11101,0,26,04-12-2018 19:35,6,04-12-2018 14:01,4,3,3,1
LM_46,26-12-2018 15:14,1,10,3,13,11235,0,7,27-12-2018 00:14,8,28-12-2018 10:27,56,1,1,1
LM_47,13-04-2018 09:57,1,14,23,13,,4,31,13-04-2018 18:57,12,,0,5,5,2
LM_48,03-12-2018 18:27,1,10,14,13,10029,0,30,04-12-2018 03:27,6,03-12-2018 21:55,46,2,2,1
LM_49,12-12-2018 10:33,1,2,31,13,11373,0,13,12-12-2018 19:33,4,12-12-2018 19:44,19,3,3,1
LM_50,05-12-2018 01:57,1,2,31,13,11385,0,38,05-12-2018 10:57,6,05-12-2018 06:33,23,3,3,1
LM_51,30-12-2018 15:54,1,10,30,13,10451,0,6,31-12-2018 00:54,8,30-12-2018 19:43,1,0,0,1
LM_52,08-12-2018 09:48,1,14,23,13,10017,2,30,08-12-2018 18:48,4,08-12-2018 15:23,26,2,2,1
LM_53,03-12-2018 22:40,1,14,23,13,11225,0,7,04-12-2018 07:40,15,04-12-2018 07:07,37,1,1,1
LM_54,30-11-2018 20:43,1,2,27,13,11365,0,18,01-12-2018 05:43,4,01-12-2018 00:29,47,3,3,1
LM_55,28-12-2018 12:37,1,2,31,13,11416,0,33,28-12-2018 21:37,8,28-12-2018 17:12,39,3,3,1
LM_56,16-12-2018 15:21,1,2,27,13,10003,0,30,17-12-2018 00:21,8,16-12-2018 16:37,26,2,2,1
LM_57,05-12-2018 22:35,1,2,27,13,10466,0,6,06-12-2018 07:35,4,06-12-2018 12:01,48,0,0,1
LM_58,11-12-2018 21:02,1,15,6,13,10026,0,30,12-12-2018 06:02,7,11-12-2018 23:15,42,2,2,1
LM_59,11-12-2018 22:15,1,14,23,13,11211,0,7,12-12-2018 07:15,4,11-12-2018 23:45,2,1,1,1
LM_60,08-12-2018 21:32,1,15,17,13,11356,0,10,09-12-2018 06:32,8,08-12-2018 23:02,31,3,3,1
LM_61,07-12-2018 00:46,1,14,22,13,11206,2,7,07-12-2018 09:46,4,07-12-2018 02:38,17,1,1,1
LM_62,12-04-2018 20:04,1,3,41,13,,4,31,13-04-2018 05:04,12,,0,5,5,2
LM_63,07-12-2018 04:13,1,11,22,12,10034,0,30,07-12-2018 13:13,8,07-12-2018 08:16,50,2,2,1
LM_64,09-12-2018 23:55,1,14,22,13,11216,0,7,10-12-2018 08:55,4,10-12-2018 06:02,33,1,1,1
LM_65,12-12-2018 19:04,1,15,17,13,10027,0,30,13-12-2018 04:04,8,12-12-2018 20:38,42,2,2,1
LM_66,19-12-2018 15:51,1,11,1,12,10002,3,30,20-12-2018 00:51,8,19-12-2018 18:16,13,2,2,1
LM_67,12-12-2018 17:21,1,2,27,13,11373,0,13,13-12-2018 02:21,2,12-12-2018 19:45,19,3,3,1
LM_68,18-12-2018 21:23,1,2,27,13,10458,0,6,19-12-2018 06:23,4,19-12-2018 01:00,20,0,0,1
LM_69,14-12-2018 22:21,1,2,31,13,11223,0,7,15-12-2018 07:21,4,15-12-2018 15:18,56,1,1,1
LM_70,16-05-2018 01:23,1,14,22,13,,4,31,16-05-2018 10:23,12,,0,5,5,0
LM_71,07-12-2018 11:29,1,10,10,13,11229,2,7,07-12-2018 20:29,6,07-12-2018 14:01,56,1,1,1
LM_72,07-12-2018 04:27,1,10,2,13,11385,0,38,07-12-2018 13:27,2,07-12-2018 06:12,23,3,3,1
LM_73,05-12-2018 01:32,1,15,17,13,11219,2,7,05-12-2018 10:32,8,05-12-2018 07:20,49,1,1,1
LM_74,07-12-2018 22:39,1,2,27,13,11232,0,7,08-12-2018 07:39,4,08-12-2018 00:03,29,1,1,1
LM_75,20-12-2018 16:42,1,3,41,13,11229,0,7,21-12-2018 01:42,11,20-12-2018 21:00,56,1,1,1
LM_76,06-12-2018 18:33,1,11,22,12,10016,0,30,07-12-2018 03:33,8,06-12-2018 23:06,26,2,2,1
LM_77,13-10-2018 22:18,1,10,10,13,,4,31,14-10-2018 07:18,12,,0,5,5,0
LM_78,01-12-2018 09:33,1,10,3,13,,4,31,01-12-2018 18:33,7,01-12-2018 12:39,0,5,5,1
LM_79,27-12-2018 12:17,1,15,17,13,10002,0,30,27-12-2018 21:17,4,27-12-2018 14:16,13,2,2,1
LM_80,28-12-2018 13:49,1,2,27,13,11416,0,33,28-12-2018 22:49,8,28-12-2018 17:09,39,3,3,1
LM_81,12-12-2018 20:23,1,2,27,13,11218,0,7,13-12-2018 05:23,2,13-12-2018 06:20,49,1,1,1
LM_82,23-12-2018 02:43,1,11,22,12,10034,0,30,23-12-2018 11:43,7,23-12-2018 06:40,50,2,2,1
LM_83,17-12-2018 10:27,1,2,27,13,11226,0,7,17-12-2018 19:27,2,17-12-2018 13:23,37,1,1,1
LM_84,10-12-2018 07:37,1,10,2,13,11218,0,7,10-12-2018 16:37,2,10-12-2018 11:39,49,1,1,1
LM_85,17-12-2018 13:33,1,3,41,13,11357,0,47,17-12-2018 22:33,10,17-12-2018 15:38,31,3,3,1
LM_86,28-12-2018 12:04,1,2,31,13,11214,0,7,28-12-2018 21:04,4,28-12-2018 17:04,45,1,1,1
LM_87,19-12-2018 01:40,1,11,22,0,11211,2,7,19-12-2018 10:40,8,19-12-2018 08:39,2,1,1,1
LM_88,01-12-2018 23:28,1,11,22,12,10028,0,30,02-12-2018 08:28,8,02-12-2018 03:25,34,2,2,1
LM_89,13-12-2018 08:16,1,10,34,13,10003,0,30,13-12-2018 17:16,7,13-12-2018 18:07,8,2,2,1
LM_90,01-12-2018 12:11,1,2,27,13,11238,0,7,01-12-2018 21:11,6,01-12-2018 15:40,7,1,1,1
LM_91,06-12-2018 15:16,1,2,27,13,10472,0,6,07-12-2018 00:16,4,07-12-2018 00:43,36,0,0,1
LM_92,09-12-2018 12:15,1,2,27,13,11230,0,7,09-12-2018 21:15,4,09-12-2018 18:28,49,1,1,1
LM_93,09-12-2018 17:37,1,2,27,13,11103,0,1,10-12-2018 02:37,4,09-12-2018 20:42,4,3,3,1
LM_94,18-12-2018 21:46,1,2,31,13,11691,0,14,19-12-2018 06:46,6,18-12-2018 23:35,55,3,3,1
LM_95,12-12-2018 22:36,1,1,25,12,10453,0,6,13-12-2018 07:36,8,13-12-2018 01:10,20,0,0,1
LM_96,05-12-2018 02:22,1,2,27,13,11207,0,7,05-12-2018 11:22,8,05-12-2018 05:31,17,1,1,1
LM_97,10-12-2018 23:02,1,2,31,13,11358,0,16,11-12-2018 08:02,2,11-12-2018 02:19,31,3,3,1
LM_98,29-12-2018 11:43,1,2,27,13,10461,0,6,29-12-2018 20:43,4,29-12-2018 16:08,44,0,0,1
LM_99,12-12-2018 03:14,1,10,34,13,10001,0,30,12-12-2018 12:14,7,12-12-2018 05:18,22,2,2,1
LM_100,01-12-2018 08:52,1,2,27,13,11368,0,11,01-12-2018 17:52,6,01-12-2018 12:12,19,3,3,1
LM_101,01-12-2018 19:56,1,2,31,13,10457,0,6,02-12-2018 04:56,8,02-12-2018 00:34,20,0,0,1
LM_102,31-07-2018 00:09,1,10,10,13,,4,31,31-07-2018 09:09,12,,0,5,5,2
LM_103,26-12-2018 14:45,1,0,35,10,11694,0,39,26-12-2018 23:45,8,26-12-2018 16:54,55,3,3,1
LM_104,06-12-2018 10:15,1,10,15,13,11207,0,7,06-12-2018 19:15,8,06-12-2018 16:47,21,1,1,1
LM_105,08-12-2018 21:05,1,2,27,13,11355,0,16,09-12-2018 06:05,4,09-12-2018 07:27,31,3,3,1
LM_106,26-12-2018 04:54,1,11,22,0,10001,0,30,26-12-2018 13:54,7,26-12-2018 06:31,18,2,2,1
LM_107,10-12-2018 00:37,1,10,34,13,11230,0,7,10-12-2018 09:37,2,10-12-2018 04:58,49,1,1,1
LM_108,19-12-2018 04:31,1,10,2,13,11214,0,7,19-12-2018 13:31,4,19-12-2018 06:50,45,1,1,1
LM_109,20-07-2018 09:36,1,2,31,13,,4,31,20-07-2018 18:36,13,,0,5,5,2
LM_110,04-12-2018 19:40,1,10,34,13,11209,0,7,05-12-2018 04:40,7,05-12-2018 00:18,41,1,1,1
LM_111,13-12-2018 01:03,1,14,22,13,10032,0,30,13-12-2018 10:03,8,13-12-2018 04:32,50,2,2,1
LM_112,06-12-2018 18:51,1,0,29,10,10016,0,30,07-12-2018 03:51,6,06-12-2018 22:46,26,2,2,1
