Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,DateTime,Year,Month,Day,Date,Time
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50.0 ,Success,USA,USA,P,2020-08-07 05:12:00+00:00,2020,08,07,07/08/2020,05:12
CASIC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75 ,Success,China,China,S,2020-08-06 04:01:00+00:00,2020,08,06,06/08/2020,04:01
SpaceX,"Pad A, Boca Chica, Texas, USA",Starship Prototype | 150 Meter Hop,StatusActive,,Success,USA,USA,P,2020-08-04 23:57:00+00:00,2020,08,04,04/08/2020,23:57
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2020-07-30 21:25:00+00:00,2020,07,30,30/07/2020,21:25
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 541 | Perseverance,StatusActive,145.0 ,Success,USA,USA,P,2020-07-30 11:50:00+00:00,2020,07,30,30/07/2020,11:50
CASIC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68 ,Success,China,China,S,2020-07-25 03:13:00+00:00,2020,07,25,25/07/2020,03:13
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-15,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020-07-23 14:26:00+00:00,2020,07,23,23/07/2020,14:26
CASIC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5 | Tianwen-1,StatusActive,,Success,China,China,S,2020-07-23 04:41:00+00:00,2020,07,23,23/07/2020,04:41
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | ANASIS-II,StatusActive,50.0 ,Success,USA,USA,P,2020-07-20 21:30:00+00:00,2020,07,20,20/07/2020,21:30
JAXA,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 202 | Hope Mars Mission,StatusActive,90.0 ,Success,Japan,Japan,S,2020-07-19 21:58:00+00:00,2020,07,19,19/07/2020,21:58
